tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,y
2019-0319,Kitzbuhel,Clay,32,A,20190729,284,WC,Sebastian Ofner,R,191.0,AUT,23.2,7-6(1) 7-6(5),3,R32,102.0,111192,,Q,Lucas Miedler,R,183.0,AUT,23.1,124116,,8.0,5.0,77.0,37.0,32.0,25.0,12.0,2.0,3.0,9.0,1.0,83.0,56.0,39.0,16.0,12.0,4.0,5.0,258.0,168.0,167.0,307.0,1
2018-560,US Open,Hard,128,G,20180827,217,,Kei Nishikori,R,178.0,JPN,28.6,6-3 6-2 7-5,5,R16,136.0,104259,,,Philipp Kohlschreiber,R,178.0,GER,34.8,105453,21.0,5.0,5.0,88.0,51.0,40.0,20.0,15.0,3.0,5.0,7.0,3.0,87.0,56.0,36.0,13.0,14.0,5.0,11.0,34.0,1235.0,19.0,1755.0,1
2017-M007,Miami Masters,Hard,128,M,20170320,220,,Konstantin Kravchuk,R,190.0,RUS,32.0,7-5 5-7 6-1,3,R128,121.0,126207,,Q,Frances Tiafoe,R,188.0,USA,19.1,104505,,12.0,4.0,88.0,54.0,42.0,19.0,16.0,4.0,7.0,8.0,3.0,100.0,60.0,42.0,16.0,15.0,9.0,14.0,101.0,586.0,103.0,577.0,0
2021-0500,Halle,Grass,32,A,20210614,291,,Ugo Humbert,L,188.0,FRA,22.9,7-6(4) 3-6 6-3,3,R16,111.0,100644,3.0,,Alexander Zverev,R,198.0,GER,24.1,200005,,10.0,1.0,85.0,68.0,52.0,11.0,15.0,1.0,2.0,20.0,0.0,88.0,65.0,48.0,15.0,15.0,0.0,1.0,6.0,7350.0,31.0,1815.0,1
2018-0315,Newport,Grass,32,A,20180716,290,,Ivo Karlovic,R,208.0,CRO,39.3,7-6(6) 6-7(4) 6-2,3,R16,115.0,104534,,,Dudi Sela,R,175.0,ISR,33.2,103333,,4.0,4.0,105.0,76.0,58.0,14.0,16.0,4.0,6.0,18.0,15.0,107.0,61.0,49.0,16.0,16.0,3.0,7.0,156.0,357.0,110.0,515.0,0
2021-0421,Canada Masters,Hard,64,M,20210809,259,,John Isner,R,206.0,USA,36.2,6-4 6-1,3,R64,64.0,200221,,,Alejandro Davidovich Fokina,R,183.0,ESP,22.1,104545,,19.0,2.0,52.0,39.0,30.0,6.0,9.0,0.0,1.0,1.0,4.0,45.0,30.0,19.0,4.0,8.0,4.0,8.0,34.0,1723.0,30.0,1901.0,1
2017-M006,Indian Wells Masters,Hard,128,M,20170306,212,Q,Nikoloz Basilashvili,R,185.0,GEO,25.0,7-5 7-5,3,R128,105.0,105985,,Q,Darian King,R,188.0,BAR,24.8,105932,,2.0,2.0,79.0,57.0,39.0,11.0,12.0,2.0,4.0,2.0,3.0,81.0,53.0,34.0,10.0,12.0,3.0,7.0,131.0,453.0,55.0,868.0,0
2016-M035,Washington,Hard,64,A,20160718,247,Q,Vincent Millot,L,173.0,FRA,30.4,5-7 6-2 6-4,3,R64,117.0,111577,,Q,Jared Donaldson,R,188.0,USA,19.7,104672,,9.0,1.0,90.0,47.0,39.0,20.0,15.0,6.0,9.0,1.0,3.0,94.0,55.0,36.0,17.0,15.0,1.0,6.0,153.0,374.0,147.0,397.0,0
2017-6242,Winston-Salem,Hard,64,A,20170821,247,WC,Ernests Gulbis,R,190.0,LAT,28.9,7-6(1) 6-2,3,R64,93.0,105916,,Q,Marton Fucsovics,R,188.0,HUN,25.5,105208,,4.0,3.0,62.0,35.0,30.0,16.0,10.0,0.0,0.0,8.0,8.0,71.0,41.0,29.0,13.0,10.0,3.0,5.0,122.0,458.0,257.0,201.0,0
2021-9512,Belgrade 2,Clay,32,A,20210524,296,Q,Andrej Martin,R,180.0,SVK,31.6,3-6 6-3 6-4,3,QF,144.0,105583,5.0,,Dusan Lajovic,R,180.0,SRB,30.8,105413,,1.0,3.0,99.0,54.0,32.0,25.0,14.0,8.0,13.0,0.0,4.0,83.0,52.0,33.0,12.0,14.0,4.0,10.0,39.0,1585.0,119.0,673.0,1
